,Country,Missing
0,AR,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'legacyDistColdIntent', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
1,AT,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
2,AU,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
3,BE,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'legacyMembColdComplete', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
4,BN,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'legacyCustColdView', 'legacyMembInvtVerify', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'legacyMembInvtView', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'legacyCustColdVerify', 'simpCustInvtComplete', 'poCustColdView', 'simpMembColdFindAff', 'legacyMembInvtSubmit', 'simpMembColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'legacyCustInvtView', 'legacyCustInvtComplete', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
5,CA,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
6,CH,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
7,CL,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
8,CO,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
9,CZ,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
