,Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value,new
230,legacyDistColdView,AR,1826,1161,0,0.0,True
459,legacyDistColdSubmit,AR,590,394,0,0.0,True
540,legacyDistColdVerify,AR,412,356,0,0.0,True
588,legacyDistColdComplete,AR,358,341,0,0.0,True
293,legacyCustColdView,AR,1264,730,0,0.0,True
500,legacyCustColdSubmit,AR,485,294,0,0.0,True
776,legacyCustColdVerify,AR,151,144,0,0.0,True
795,legacyCustColdComplete,AR,140,137,0,0.0,True
108,legacyMembColdView,AR,4299,2758,0,0.0,True
175,legacyMembColdIntent,AR,2679,2184,0,0.0,True
209,legacyMembColdSubmit,AR,2167,1662,0,0.0,True
222,legacyMembColdVerify,AR,1981,1750,0,0.0,True
221,legacyMembColdComplete,AR,1983,1808,0,0.0,True
163,legacyDistInvtView,AR,2843,1665,0,0.0,True
1246,legacyDistInvtIntent,AR,1,1,0,0.0,True
430,legacyDistInvtSubmit,AR,666,343,0,0.0,True
605,legacyDistInvtVerify,AR,334,271,0,0.0,True
660,legacyDistInvtComplete,AR,253,252,0,0.0,True
590,legacyCustInvtView,AR,357,253,0,0.0,True
961,legacyCustInvtSubmit,AR,46,32,0,0.0,True
1024,legacyCustInvtVerify,AR,26,26,0,0.0,True
1034,legacyCustInvtComplete,AR,24,24,0,0.0,True
19,legacyMembInvtView,AR,14867,11702,0,0.0,True
252,legacyMembInvtIntent,AR,1660,1446,0,0.0,True
241,legacyMembInvtSubmit,AR,1726,1124,0,0.0,True
367,legacyMembInvtVerify,AR,890,863,0,0.0,True
378,legacyMembInvtComplete,AR,857,851,0,0.0,True
671,poCustColdView,AR,246,212,0,0.0,True
814,poCustColdComplete,AR,134,126,0,0.0,True
373,legacyDistColdView,AT,872,520,0,0.0,True
665,legacyDistColdIntent,AT,250,210,0,0.0,True
657,legacyDistColdSubmit,AT,258,155,0,0.0,True
767,legacyDistColdVerify,AT,156,144,0,0.0,True
753,legacyDistColdComplete,AT,166,163,0,0.0,True
271,legacyCustColdView,AT,1492,886,0,0.0,True
455,legacyCustColdSubmit,AT,601,423,0,0.0,True
618,legacyCustColdVerify,AT,318,289,0,0.0,True
613,legacyCustColdComplete,AT,321,299,0,0.0,True
1140,legacyMembColdView,AT,7,5,0,0.0,True
274,legacyDistInvtView,AT,1453,713,0,0.0,True
545,legacyDistInvtIntent,AT,407,306,0,0.0,True
520,legacyDistInvtSubmit,AT,435,207,0,0.0,True
744,legacyDistInvtVerify,AT,177,167,0,0.0,True
717,legacyDistInvtComplete,AT,201,198,0,0.0,True
296,legacyCustInvtView,AT,1257,808,0,0.0,True
522,legacyCustInvtSubmit,AT,433,297,0,0.0,True
562,legacyCustInvtVerify,AT,385,318,0,0.0,True
554,legacyCustInvtComplete,AT,397,323,0,0.0,True
316,legacyMembInvtView,AT,1113,646,0,0.0,True
608,legacyMembInvtIntent,AT,330,279,0,0.0,True
607,legacyMembInvtSubmit,AT,333,221,0,0.0,True
723,legacyMembInvtVerify,AT,196,186,0,0.0,True
749,legacyMembInvtComplete,AT,170,166,0,0.0,True
185,poCustColdView,AT,2481,2048,0,0.0,True
263,poCustColdComplete,AT,1608,1510,0,0.0,True
99,legacyDistColdView,AU,4593,2341,0,0.0,True
259,legacyDistColdIntent,AU,1639,1130,0,0.0,True
211,legacyDistColdSubmit,AU,2116,1152,0,0.0,True
312,legacyDistColdVerify,AU,1134,841,0,0.0,True
308,legacyDistColdComplete,AU,1174,933,0,0.0,True
307,legacyCustColdView,AU,1176,885,0,0.0,True
479,legacyCustColdSubmit,AU,530,386,0,0.0,True
732,legacyCustColdVerify,AU,189,182,0,0.0,True
733,legacyCustColdComplete,AU,188,187,0,0.0,True
516,legacyMembColdView,AU,443,279,0,0.0,True
718,legacyMembColdIntent,AU,201,160,0,0.0,True
696,legacyMembColdSubmit,AU,223,146,0,0.0,True
804,legacyMembColdVerify,AU,138,118,0,0.0,True
798,legacyMembColdComplete,AU,140,126,0,0.0,True
181,legacyDistInvtView,AU,2581,1419,0,0.0,True
428,legacyDistInvtIntent,AU,672,523,0,0.0,True
366,legacyDistInvtSubmit,AU,898,439,0,0.0,True
594,legacyDistInvtVerify,AU,354,333,0,0.0,True
566,legacyDistInvtComplete,AU,379,368,0,0.0,True
678,legacyCustInvtView,AU,238,159,0,0.0,True
922,legacyCustInvtSubmit,AU,63,44,0,0.0,True
986,legacyCustInvtVerify,AU,35,34,0,0.0,True
989,legacyCustInvtComplete,AU,34,34,0,0.0,True
425,legacyMembInvtView,AU,682,449,0,0.0,True
727,legacyMembInvtIntent,AU,193,157,0,0.0,True
684,legacyMembInvtSubmit,AU,234,134,0,0.0,True
828,legacyMembInvtVerify,AU,118,109,0,0.0,True
831,legacyMembInvtComplete,AU,114,109,0,0.0,True
216,poCustColdView,AU,2042,1598,0,0.0,True
724,poCustColdIntent,AU,196,192,0,0.0,True
288,poCustColdComplete,AU,1333,1195,0,0.0,True
363,legacyDistColdView,BE,903,522,0,0.0,True
691,legacyDistColdIntent,BE,227,182,0,0.0,True
626,legacyDistColdSubmit,BE,302,170,0,0.0,True
802,legacyDistColdVerify,BE,139,128,0,0.0,True
780,legacyDistColdComplete,BE,149,142,0,0.0,True
410,legacyCustColdView,BE,725,355,0,0.0,True
576,legacyCustColdSubmit,BE,371,183,0,0.0,True
947,legacyCustColdVerify,BE,53,51,0,0.0,True
932,legacyCustColdComplete,BE,58,57,0,0.0,True
1164,legacyMembColdView,BE,5,2,0,0.0,True
243,legacyDistInvtView,BE,1723,872,0,0.0,True
494,legacyDistInvtIntent,BE,497,387,0,0.0,True
473,legacyDistInvtSubmit,BE,550,303,0,0.0,True
658,legacyDistInvtVerify,BE,256,252,0,0.0,True
647,legacyDistInvtComplete,BE,268,268,0,0.0,True
629,legacyCustInvtView,BE,298,184,0,0.0,True
875,legacyCustInvtSubmit,BE,88,56,0,0.0,True
951,legacyCustInvtVerify,BE,51,49,0,0.0,True
960,legacyCustInvtComplete,BE,46,46,0,0.0,True
244,legacyMembInvtView,BE,1712,891,0,0.0,True
460,legacyMembInvtIntent,BE,590,467,0,0.0,True
449,legacyMembInvtSubmit,BE,626,355,0,0.0,True
612,legacyMembInvtVerify,BE,322,317,0,0.0,True
619,legacyMembInvtComplete,BE,318,316,0,0.0,True
340,poCustColdView,BE,1013,786,0,0.0,True
436,poCustColdComplete,BE,660,609,0,0.0,True
1274,simpDistColdView,BE,1,0,0,0.0,True
1272,simpDistColdIntent,BE,1,0,0,0.0,True
1270,simpDistColdFindAff,BE,1,0,0,0.0,True
1273,simpDistColdNextBttn,BE,1,0,0,0.0,True
792,legacyDistColdView,BN,142,89,0,0.0,True
950,legacyDistColdIntent,BN,52,43,0,0.0,True
954,legacyDistColdSubmit,BN,50,36,0,0.0,True
968,legacyDistColdVerify,BN,42,34,0,0.0,True
993,legacyDistColdComplete,BN,34,32,0,0.0,True
1093,legacyDistInvtView,BN,13,9,0,0.0,True
1188,legacyDistInvtIntent,BN,3,3,0,0.0,True
1190,legacyDistInvtSubmit,BN,3,1,0,0.0,True
1247,legacyDistInvtVerify,BN,1,1,0,0.0,True
1245,legacyDistInvtComplete,BN,1,1,0,0.0,True
946,simpDistColdView,BN,54,34,0,0.0,True
1019,simpDistColdIntent,BN,28,19,0,0.0,True
1008,simpDistColdFindAff,BN,31,16,0,0.0,True
1043,simpDistColdNextBttn,BN,23,16,0,0.0,True
1073,simpDistColdFormStart,BN,17,12,0,0.0,True
1129,simpDistColdComplete,BN,9,7,0,0.0,True
1229,simpDistInvtLanding,BN,2,2,0,0.0,True
1226,simpDistInvtAccept,BN,2,2,0,0.0,True
1200,simpDistInvtView,BN,3,3,0,0.0,True
1198,simpDistInvtIntent,BN,3,3,0,0.0,True
1231,simpDistInvtSubmit,BN,2,1,0,0.0,True
1275,simpDistInvtComplete,BN,1,1,0,0.0,True
1180,simpDistInvtError,BN,4,3,0,0.0,True
97,legacyDistColdView,CA,4632,2542,0,0.0,True
339,legacyDistColdIntent,CA,1013,779,0,0.0,True
281,legacyDistColdSubmit,CA,1401,669,0,0.0,True
477,legacyDistColdVerify,CA,532,380,0,0.0,True
555,legacyDistColdComplete,CA,396,394,0,0.0,True
172,legacyCustColdView,CA,2710,1752,0,0.0,True
303,legacyCustColdSubmit,CA,1194,789,0,0.0,True
561,legacyCustColdVerify,CA,386,363,0,0.0,True
553,legacyCustColdComplete,CA,399,383,0,0.0,True
52,legacyMembColdView,CA,7082,3093,0,0.0,True
94,legacyMembColdIntent,CA,4743,2448,0,0.0,True
80,legacyMembColdSubmit,CA,5418,2676,0,0.0,True
128,legacyMembColdVerify,CA,3644,2242,0,0.0,True
116,legacyMembColdComplete,CA,3938,2495,0,0.0,True
55,legacyDistInvtView,CA,6903,3393,0,0.0,True
254,legacyDistInvtIntent,CA,1652,1197,0,0.0,True
202,legacyDistInvtSubmit,CA,2264,894,0,0.0,True
349,legacyDistInvtVerify,CA,976,592,0,0.0,True
456,legacyDistInvtComplete,CA,600,599,0,0.0,True
310,legacyCustInvtView,CA,1167,660,0,0.0,True
632,legacyCustInvtSubmit,CA,293,162,0,0.0,True
811,legacyCustInvtVerify,CA,135,124,0,0.0,True
806,legacyCustInvtComplete,CA,137,128,0,0.0,True
56,legacyMembInvtView,CA,6880,3731,0,0.0,True
182,legacyMembInvtIntent,CA,2551,1792,0,0.0,True
159,legacyMembInvtSubmit,CA,2881,1638,0,0.0,True
246,legacyMembInvtVerify,CA,1695,1368,0,0.0,True
238,legacyMembInvtComplete,CA,1748,1460,0,0.0,True
122,poCustColdView,CA,3766,2829,0,0.0,True
667,poCustColdIntent,CA,250,225,0,0.0,True
169,poCustColdComplete,CA,2749,2280,0,0.0,True
1104,simpDistColdView,CA,12,2,0,0.0,True
1146,simpDistColdIntent,CA,7,1,0,0.0,True
1145,simpDistColdFindAff,CA,7,1,0,0.0,True
1158,simpDistColdNextBttn,CA,6,1,0,0.0,True
284,legacyDistColdView,CH,1357,823,0,0.0,True
578,legacyDistColdIntent,CH,366,311,0,0.0,True
568,legacyDistColdSubmit,CH,378,250,0,0.0,True
697,legacyDistColdVerify,CH,221,205,0,0.0,True
676,legacyDistColdComplete,CH,240,234,0,0.0,True
359,legacyCustColdView,CH,920,525,0,0.0,True
537,legacyCustColdSubmit,CH,415,246,0,0.0,True
871,legacyCustColdVerify,CH,89,82,0,0.0,True
879,legacyCustColdComplete,CH,86,81,0,0.0,True
268,legacyDistInvtView,CH,1548,934,0,0.0,True
559,legacyDistInvtIntent,CH,391,335,0,0.0,True
505,legacyDistInvtSubmit,CH,474,269,0,0.0,True
694,legacyDistInvtVerify,CH,225,222,0,0.0,True
673,legacyDistInvtComplete,CH,244,242,0,0.0,True
611,legacyCustInvtView,CH,323,226,0,0.0,True
867,legacyCustInvtSubmit,CH,90,57,0,0.0,True
929,legacyCustInvtVerify,CH,60,57,0,0.0,True
942,legacyCustInvtComplete,CH,56,53,0,0.0,True
497,legacyMembInvtView,CH,487,274,0,0.0,True
772,legacyMembInvtIntent,CH,153,134,0,0.0,True
738,legacyMembInvtSubmit,CH,181,99,0,0.0,True
865,legacyMembInvtVerify,CH,91,89,0,0.0,True
864,legacyMembInvtComplete,CH,91,89,0,0.0,True
275,poCustColdView,CH,1437,1161,0,0.0,True
350,poCustColdComplete,CH,960,898,0,0.0,True
20,legacyDistColdView,CL,14609,8406,0,0.0,True
65,legacyDistColdIntent,CL,6303,5045,0,0.0,True
67,legacyDistColdSubmit,CL,6268,4132,0,0.0,True
95,legacyDistColdVerify,CL,4719,3747,0,0.0,True
123,legacyDistColdComplete,CL,3762,3506,0,0.0,True
78,legacyCustColdView,CL,5450,3328,0,0.0,True
225,legacyCustColdSubmit,CL,1940,1443,0,0.0,True
277,legacyCustColdVerify,CL,1419,1177,0,0.0,True
314,legacyCustColdComplete,CL,1133,1069,0,0.0,True
14,legacyMembColdView,CL,17033,9650,0,0.0,True
33,legacyMembColdIntent,CL,9690,7645,0,0.0,True
36,legacyMembColdSubmit,CL,9291,6700,0,0.0,True
49,legacyMembColdVerify,CL,7808,6452,0,0.0,True
58,legacyMembColdComplete,CL,6680,6232,0,0.0,True
50,legacyDistInvtView,CL,7463,4429,0,0.0,True
196,legacyDistInvtIntent,CL,2326,1884,0,0.0,True
190,legacyDistInvtSubmit,CL,2389,1312,0,0.0,True
278,legacyDistInvtVerify,CL,1416,1128,0,0.0,True
330,legacyDistInvtComplete,CL,1051,1030,0,0.0,True
229,legacyCustInvtView,CL,1850,1274,0,0.0,True
574,legacyCustInvtSubmit,CL,373,276,0,0.0,True
636,legacyCustInvtVerify,CL,282,246,0,0.0,True
692,legacyCustInvtComplete,CL,226,218,0,0.0,True
18,legacyMembInvtView,CL,15384,10903,0,0.0,True
130,legacyMembInvtIntent,CL,3599,2985,0,0.0,True
124,legacyMembInvtSubmit,CL,3761,2508,0,0.0,True
178,legacyMembInvtVerify,CL,2649,2302,0,0.0,True
200,legacyMembInvtComplete,CL,2275,2150,0,0.0,True
47,poCustColdView,CL,8028,4912,0,0.0,True
195,poCustColdComplete,CL,2340,2226,0,0.0,True
27,legacyDistColdView,CO,11273,5647,0,0.0,True
106,legacyDistColdIntent,CO,4332,3320,0,0.0,True
92,legacyDistColdSubmit,CO,4861,3030,0,0.0,True
138,legacyDistColdVerify,CO,3276,2667,0,0.0,True
171,legacyDistColdComplete,CO,2725,2520,0,0.0,True
232,legacyCustColdView,CO,1816,852,0,0.0,True
409,legacyCustColdSubmit,CO,734,338,0,0.0,True
669,legacyCustColdVerify,CO,247,183,0,0.0,True
779,legacyCustColdComplete,CO,149,146,0,0.0,True
432,legacyMembColdView,CO,664,379,0,0.0,True
598,legacyMembColdIntent,CO,346,262,0,0.0,True
638,legacyMembColdSubmit,CO,281,220,0,0.0,True
639,legacyMembColdVerify,CO,281,236,0,0.0,True
635,legacyMembColdComplete,CO,283,254,0,0.0,True
38,legacyDistInvtView,CO,9165,4675,0,0.0,True
228,legacyDistInvtIntent,CO,1887,1380,0,0.0,True
153,legacyDistInvtSubmit,CO,2973,1056,0,0.0,True
384,legacyDistInvtVerify,CO,837,717,0,0.0,True
416,legacyDistInvtComplete,CO,715,682,0,0.0,True
375,legacyCustInvtView,CO,870,655,0,0.0,True
858,legacyCustInvtSubmit,CO,95,49,0,0.0,True
965,legacyCustInvtVerify,CO,43,34,0,0.0,True
1001,legacyCustInvtComplete,CO,32,32,0,0.0,True
127,legacyMembInvtView,CO,3672,2558,0,0.0,True
501,legacyMembInvtIntent,CO,478,399,0,0.0,True
423,legacyMembInvtSubmit,CO,698,304,0,0.0,True
687,legacyMembInvtVerify,CO,232,194,0,0.0,True
737,legacyMembInvtComplete,CO,183,176,0,0.0,True
204,poCustColdView,CO,2211,1425,0,0.0,True
487,poCustColdComplete,CO,516,501,0,0.0,True
332,legacyDistColdView,CZ,1044,634,0,0.0,True
674,legacyDistColdIntent,CZ,242,187,0,0.0,True
663,legacyDistColdSubmit,CZ,251,161,0,0.0,True
762,legacyDistColdVerify,CZ,161,124,0,0.0,True
822,legacyDistColdComplete,CZ,126,121,0,0.0,True
424,legacyCustColdView,CZ,690,419,0,0.0,True
701,legacyCustColdSubmit,CZ,219,121,0,0.0,True
908,legacyCustColdVerify,CZ,72,55,0,0.0,True
958,legacyCustColdComplete,CZ,48,48,0,0.0,True
934,legacyMembColdView,CZ,58,31,0,0.0,True
1095,legacyMembColdIntent,CZ,13,9,0,0.0,True
1102,legacyMembColdSubmit,CZ,12,6,0,0.0,True
1127,legacyMembColdVerify,CZ,9,5,0,0.0,True
1172,legacyMembColdComplete,CZ,4,3,0,0.0,True
179,legacyDistInvtView,CZ,2612,1444,0,0.0,True
415,legacyDistInvtIntent,CZ,716,565,0,0.0,True
419,legacyDistInvtSubmit,CZ,707,399,0,0.0,True
552,legacyDistInvtVerify,CZ,400,338,0,0.0,True
599,legacyDistInvtComplete,CZ,345,343,0,0.0,True
