Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value
poCustColdView,US,41078,34216,0,0.00
legacyDistColdView,ZA,34170,16126,0,0.00
legacyDistColdView,ID,32824,16668,0,0.00
legacyDistInvtView,US,32365,17505,0,0.00
poCustColdView,GB,31184,27000,0,0.00
legacyDistColdView,US,29039,16786,0,0.00
poCustColdComplete,US,27028,25230,0,0.00
legacyDistInvtView,ZA,22997,11474,0,0.00
legacyMembColdView,JP,22614,12656,0,0.00
poCustColdComplete,GB,21924,20683,0,0.00
legacyMembInvtView,US,20109,11952,0,0.00
legacyDistColdView,MX,18758,9730,0,0.00
legacyDistColdSubmit,ID,18248,12210,0,0.00
legacyDistColdIntent,ID,18179,12908,0,0.00
legacyMembColdView,CL,17033,9650,0,0.00
legacyCustColdView,US,16183,10673,0,0.00
legacyDistColdView,GB,15925,9853,0,0.00
legacyDistColdVerify,ID,15399,11860,0,0.00
legacyMembInvtView,CL,15384,10903,0,0.00
legacyMembInvtView,AR,14867,11702,0,0.00
legacyDistColdView,CL,14609,8406,0,0.00
legacyDistInvtView,PL,13688,7659,0,0.00
legacyDistColdComplete,ID,13613,11940,0,0.00
legacyDistColdView,PH,13322,6910,0,0.00
simpDistColdView,PH,13235,7980,0,0.00
legacyDistInvtView,GB,13135,6670,0,0.00
legacyDistColdSubmit,ZA,12541,6932,0,0.00
legacyDistColdView,CO,11273,5647,0,0.00
poCustColdView,ES,10745,9260,0,0.00
legacyDistColdIntent,ZA,10717,7922,0,0.00
simpDistColdFindAff,PH,10590,6250,0,0.00
poCustColdView,FR,10330,8572,0,0.00
legacyDistInvtSubmit,US,9915,4884,0,0.00
legacyMembColdIntent,CL,9690,7645,0,0.00
simpDistColdIntent,PH,9535,6528,0,0.00
legacyMembColdView,US,9398,5468,0,0.00
legacyMembColdSubmit,CL,9291,6700,0,0.00
simpDistColdNextBttn,PH,9233,6150,0,0.00
legacyDistInvtView,CO,9165,4675,0,0.00
simpDistColdFormStart,PH,8737,5903,0,0.00
legacyDistColdView,MY,8410,4451,0,0.00
legacyMembInvtView,SK,8396,6027,0,0.00
legacyCustColdSubmit,US,8394,5531,0,0.00
legacyDistColdSubmit,US,8359,4786,0,0.00
legacyMembColdIntent,JP,8316,7236,0,0.00
poCustColdView,DE,8179,6579,0,0.00
legacyDistInvtIntent,US,8106,6269,0,0.00
poCustColdView,CL,8028,4912,0,0.00
legacyDistInvtSubmit,ZA,7847,3757,0,0.00
legacyMembColdVerify,CL,7808,6452,0,0.00
legacyDistInvtView,CL,7463,4429,0,0.00
legacyDistInvtView,ES,7206,4264,0,0.00
legacyMembColdView,CA,7082,3093,0,0.00
legacyDistInvtView,HU,7050,3607,0,0.00
legacyDistColdIntent,US,7033,5621,0,0.00
legacyDistInvtView,CA,6903,3393,0,0.00
legacyMembInvtView,CA,6880,3731,0,0.00
legacyDistInvtView,PH,6806,3604,0,0.00
legacyMembColdComplete,CL,6680,6232,0,0.00
